fec.gov
title,Two Year Summary
description,2012 Itemized Individual Contributions
timestamp,Tue Feb 28 16:48:46 GMT 2017
copyright,"Copyright 2012, Federal Election Commission."
cmte_id,C00497842
cmte_nm,STRATEGY PAC
"Contributor Name","Employer","Occupation","Description","City","State","Zip","Receipt Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"BARKER, MARK MR","INTERLAKE STEAMSHIP CO/PRESIDENT","PRESIDENT","","ROCKY RIVER","OH","44116","10/13/2011","$500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314461","15","","","",
"BLALOCK, WM KIRK MR","FIERCE, ISAKOWITZ & BLALOCK/PARTNER","PARTNER","","ALEXANDRIA","VA","22302","01/24/2012","$1,000.00","","Q1","2012","http://docquery.fec.gov/cgi-bin/fecimg/?12970872785","15","","","",
"FOSTER, ROBERT","USTETA/CHIEF EXECUTIVE OFFICER","CHIEF EXECUTIVE OFFICER","","WASHINGTON","DC","20006","10/13/2011","$1,500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314461","15","","","",
"FRANASIAK, DAVID","WILLIAMS & JENSEN, PLLC/ATTORNEY","ATTORNEY","","ANNAPOLIS","MD","21401","11/10/2011","$500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314462","15","","","",
"HART, J STEPHEN MR.","WILLIAMS & JENSEN PLLC/CHAIRMAN","CHAIRMAN","","WASHINGTON","DC","20001","03/27/2012","$500.00","","Q1","2012","http://docquery.fec.gov/cgi-bin/fecimg/?12970872786","15","","","",
"HAUCK, MEGAN MS","NATHANSON & HAUCK/PARTNER","PARTNER","","WASHINGTON","DC","20003","03/27/2012","$500.00","","Q1","2012","http://docquery.fec.gov/cgi-bin/fecimg/?12970872786","15","","","",
"HOGAN, FRANCIS","OVERSEAS SERVICE CORP/EXECUTIVE","EXECUTIVE","","WEST PALM BEACH","FL","33407","11/10/2011","$1,000.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314462","15","","","",
"JARVIS, ALEIX MR","FIERCE, ISAKOWITZ & BLALOCK/PARTNER","PARTNER","","MCLEAN","VA","22101","12/30/2011","$1,000.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314463","15","","","",
"KIMBELL, JEFFREY MR","JEFFREY J. KIMBELL & ASSOC","OWNER","","WASHINGTON","DC","20016","12/29/2011","$500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314463","15","","","",
"KIMMITT, JOSEPH","SELF/EXECUTIVE","EXECUTIVE","","MC LEAN","VA","22101","03/27/2012","$500.00","","Q1","2012","http://docquery.fec.gov/cgi-bin/fecimg/?12970872785","15","","","",
"KIMMITT, JOSEPH","SELF","EXECUTIVE","","MC LEAN","VA","22101","10/02/2011","$500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314460","15","","","",
"KOROLOGOS, TOM","DLA PIPER/STRATEGIC ADVISOR","STRATEGIC ADVISOR","","WASHINGTON","DC","20007","11/10/2011","$500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314463","15","","","",
"MORRIS, LEE","OSHKOSH CORPORATION/EXECUTIVE","EXECUTIVE","","MC LEAN","VA","22102","10/02/2011","$500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314460","15","","","",
"OKUN, B ROBERT","NBC WASHINGTON","EXECUTIVE","","MC LEAN","VA","22101","05/07/2012","$500.00","","Q2","2012","http://docquery.fec.gov/cgi-bin/fecimg/?12971399635","15","","","",
"RAFFANIELLO, PATRICK MR.","RAFFANIELLO & ASSOCIATES, LL/OWNER","OWNER","","WASHINGTON","DC","20001","03/27/2012","$500.00","","Q1","2012","http://docquery.fec.gov/cgi-bin/fecimg/?12970872786","15","","","",
"SPEIRS, GORDON MR","SHILOH DAIRY, LLC","MANAGER","","GREENLEAF","WI","54126","12/29/2012","$500.00","","YE","2012","http://docquery.fec.gov/cgi-bin/fecimg/?13960354224","15","","","",
"WALKER, LEONARD","XELAS SYSTEMS ENGINEERING/EXECUTIVE","EXECUTIVE","","BOWIE","MD","20715","10/20/2011","$1,500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314461","15","","","",
"WILEY, LAWRENCE","AKIN GUMP/CONSULTANT","CONSULTANT","","APPLETON","WI","54911","03/27/2012","$1,000.00","","Q1","2012","http://docquery.fec.gov/cgi-bin/fecimg/?12970872785","15","","","",
"WILEY, LAWRENCE","AKIN GUMP","CONSULTANT","","APPLETON","WI","54911","10/02/2011","$1,500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314460","15","","","",
"WILLCOX, LAWRENCE","CAPITOL TAX PARTNERS/EXECUTIVE","EXECUTIVE","","BETHESDA","MD","20817","11/10/2011","$500.00","","YE","2011","http://docquery.fec.gov/cgi-bin/fecimg/?12952314462","15","","","",
