fec.gov
title,Two Year Summary
description,2014 Other Committees Contributions
timestamp,Tue Feb 28 16:48:23 GMT 2017
copyright,"Copyright 2012, Federal Election Commission."
cmte_id,C00497842
cmte_nm,STRATEGY PAC
"Contributor Name","Description","City","State","Zip","Receipt Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"AICPA PAC","CONTRIBUTION/12100248","DURHAM","NC","27707","08/19/2013","$2,500.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156613","18K","C00077321","","P",
"AICPA PAC","CONTRIBUTION","DURHAM","NC","27707","09/30/2014","$2,500.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173150","18K","C00077321","","P",
"AICPA PAC","CONTRIBUTION","DURHAM","NC","27707","06/17/2014","$2,500.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269211","18K","C00077321","","P",
"AMERICAN BAKERS ASSOCIATION PAC","CONTRIBUTION","WASHINGTON","DC","20005","09/30/2014","$2,500.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173150","18K","C00016386","","P",
"AMERICAN BANKERS ASSOCIATION QUALIFIED MULTI-CANDIDATE  COMM","CONTRIBUTION","WASHINGTON","DC","20036","11/19/2014","$5,000.00","","30G","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14953206571","18K","C00004275","","P",
"AMERICAN DENTAL PAC","CONTRIBUTION","WASHINGTON","DC","20005","08/04/2014","$1,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173150","18K","C00000729","","P",
"AMERICAN DENTAL PAC","CONTRIBUTION","WASHINGTON","DC","20005","09/30/2014","$4,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173151","18K","C00000729","","P",
"AMERICAN EXPRESS POLITICAL ACTION COMMITTEE","CONTRIBUTION","WASHINGTON","DC","20004","06/24/2014","$1,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269212","18K","C00040535","","P",
"ASSOCIATION OF AMERICAN RAILROADS POLITICAL ACTION COMMITTEE","CONTRIBUTION","WASHINGTON","DC","20024","06/30/2014","$1,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269212","18K","C00280743","","P",
"BLUEPAC - BLUE CROSS & BLUE SHIELD ASSOC PAC","CONTRIBUTION","WASHINGTON","DC","20005","10/28/2014","$2,500.00","","30G","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14953206571","18K","C00194746","","P",
"BNSF RAIL PAC","CONTRIBUTION","FORT WORTH","TX","76161","06/30/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269213","18K","C00235739","","P",
"CENTURYLINK EMPLOYEES PAC","CONTRIBUTION","WASHINGTON","DC","20001","09/23/2013","$2,500.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156613","18K","C00419911","","P",
"CSX CORP GOOD GOVERNMENT FUND","CONTRIBUTION","WASHINGTON","DC","20004","06/30/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269213","18K","C00163832","","P",
"CSX CORP GOOD GOVERNMENT FUND","CONTRIBUTION","WASHINGTON","DC","20004","06/11/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124564","18K","C00163832","","P",
"DELOITTE FEDERAL POLITICAL ACTION COMMITTEE","CONTRIBUTION","WASHINGTON","DC","20044","09/11/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156613","18K","C00211318","","P",
"DELOITTE FEDERAL POLITICAL ACTION COMMITTEE","CONTRIBUTION","WASHINGTON","DC","20044","09/30/2014","$2,500.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173151","18K","C00211318","","P",
"ERNST & YOUNG PAC","CONTRIBUTION","WASHINGTON","DC","20005","08/27/2014","$5,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173151","18K","C00227744","","P",
"ERNST & YOUNG POLITICAL ACTION COMMITTEE","CONTRIBUTION","WASHINGTON","DC","20005","09/28/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156614","18K","C00227744","","P",
"GENERAL ELECTRIC PAC","CONTRIBUTION","WASHINGTON","DC","20004","09/17/2013","$2,500.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156614","18K","C00024869","","P",
"GENERAL ELECTRIC PAC","CONTRIBUTION","WASHINGTON","DC","20004","03/04/2014","$2,500.00","","Q1","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14960853623","18K","C00024869","","P",
"GRAND TRUNK - ILLINOIS CENTRAL RAIL PAC","CONTRIBUTION","WASHINGTON","DC","20004","07/22/2013","$1,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156614","18K","C00095117","","P",
"GRAND TRUNK - ILLINOIS CENTRAL RAIL PAC","CONTRIBUTION","WASHINGTON","DC","20004","07/20/2014","$1,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173152","18K","C00095117","","P",
"HOME DEPOT INC POLITICAL ACTION COMMITTEE","CONTRIBUTION","WASHINGTON","DC","20004","09/30/2014","$5,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173152","18K","C00284885","","P",
"HONEYWELL INTERNATIONAL PAC","CONTRIBUTION","WASHINGTON","DC","20001","12/29/2014","$2,500.00","","YE","2014","http://docquery.fec.gov/cgi-bin/fecimg/?15950022603","18K","C00096156","","P",
"HONEYWELL INTERNATIONAL PAC","CONTRIBUTION","WASHINGTON","DC","20001","07/08/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156615","18K","C00096156","","P",
"HONEYWELL INTERNATIONAL PAC","CONTRIBUTION","WASHINGTON","DC","20001","03/31/2014","$2,500.00","","Q1","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14960853623","18K","C00096156","","P",
"KMPG PAC","CONTRIBUTION","WASHINGTON","DC","20036","09/30/2014","$2,500.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173152","18K","C00280222","","P",
"KOCH INDUSTRIES INC PAC","CONTRIBUTION","WASHINGTON","DC","20005","09/23/2014","$5,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173153","18K","C00236489","","P",
"KOCH PAC - KOCH INDUSTRIES INC POLITICAL ACTION COM","CONTRIBUTION","WASHINGTON","DC","20005","10/29/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156615","18K","C00236489","","P",
"KPMG PARTNERS/PRINCIPALS & EMPLOYEES PAC","CONTRIBUTION","WASHINGTON","DC","20036","10/28/2014","$2,500.00","","30G","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14953206571","18K","C00280222","","P",
"MILLER COORS LLC PAC","CONTRIBUTION","WASHINGTON","DC","20005","06/11/2013","$3,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124564","18K","C00457697","","P",
"NACO RESPONSIBLE DISTRIBUTION PAC","CONTRIBUTION","ARLINGTON","VA","22209","06/17/2014","$2,500.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269211","18K","C00379180","","P",
"NATIONAL ASSOCIATION OF BROADCASTERS PAC (NABPAC)","CONTRIBUTION","WASHINGTON","DC","20036","08/27/2014","$1,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173153","18K","C00009985","","P",
"NATIONAL ASSOCIATION OF BROADCASTERS PAC (NABPAC)","CONTRIBUTION","WASHINGTON","DC","20036","06/30/2014","$2,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269213","18K","C00009985","","P",
"NATIONAL ASSOCIATION OF CONVENIENCE STORES PAC (NACSPAC)","CONTRIBUTION","ALEXANDRIA","VA","22314","11/19/2014","$5,000.00","","30G","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14953206572","18K","C00126763","","P",
"NATIONAL ASSOCIATION OF HEALTH UNDERWRITER'S (NAHU) POLITICA","CONTRIBUTION","INDIANAPOLIS","IN","46220","10/04/2014","$2,000.00","","30G","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14953206572","18K","C00283135","","P",
"NATIONAL MULTIFAMILY HOUSING COUNCIL PAC","CONTRIBUTION","WASHINGTON","DC","20036","09/30/2014","$5,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173153","18K","C00130773","","P",
"NCTAPAC","CONTRIBUTION","WASHINGTON","DC","20001","03/06/2014","$5,000.00","","Q1","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14960853623","18K","C00010082","","P",
"NEW YORK LIFE INSURANCE PAC","CONTRIBUTION","NEW YORK","NY","10010","09/30/2014","$5,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173154","18K","C00158881","","P",
"NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND","CONTRIBUTION","NORFOLK","VA","23510","06/30/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269214","18K","C00009282","","P",
"OCEAN SPRAY POLITICAL ACTION COMMITTEE","CONTRIBUTION","MIDDLEBORO","MA","02349","09/28/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156615","18K","C00114702","","P",
"OCEAN SPRAY POLITICAL ACTION COMMITTEE","CONTRIBUTION","MIDDLEBORO","MA","02349","10/28/2014","$5,000.00","","30G","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14953206572","18K","C00114702","","P",
"PRICEWATERHOUSE COOPERS PAC","CONTRIBUTION","WASHINGTON","DC","20005","09/11/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156616","18K","C00107235","","P",
"PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE","CONTRIBUTION","WASHINGTON","DC","20005","06/17/2014","$2,500.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269211","18K","C00107235","","P",
